"Area name","Area code","Area type","Reporting date","Daily hospital deaths","Cumulative hospital deaths"
"Wales","W92000004","Country","2020-03-21",2,3
"United Kingdom","K02000001","Country - UK","2020-03-21",56,250
"England","E92000001","Country","2020-03-21",54,240
"Scotland","S92000003","Country","2020-03-21",0,6
"Scotland","S92000003","Country","2020-03-22",1,7
"England","E92000001","Country","2020-03-22",24,264
"Wales","W92000004","Country","2020-03-22",9,12
"United Kingdom","K02000001","Country - UK","2020-03-22",35,285
"Northern Ireland","N92000002","Country","2020-03-22",1,2
"Wales","W92000004","Country","2020-03-23",4,16
"Northern Ireland","N92000002","Country","2020-03-23",0,2
"Scotland","S92000003","Country","2020-03-23",3,10
"England","E92000001","Country","2020-03-23",67,331
"United Kingdom","K02000001","Country - UK","2020-03-23",74,359
"Scotland","S92000003","Country","2020-03-24",4,14
"England","E92000001","Country","2020-03-24",143,474
"Wales","W92000004","Country","2020-03-24",1,17
"Northern Ireland","N92000002","Country","2020-03-24",1,3
"United Kingdom","K02000001","Country - UK","2020-03-24",149,508
"United Kingdom","K02000001","Country - UK","2020-03-25",186,694
"Scotland","S92000003","Country","2020-03-25",2,16
"Northern Ireland","N92000002","Country","2020-03-25",2,5
"England","E92000001","Country","2020-03-25",177,651
"Wales","W92000004","Country","2020-03-25",5,22
"Northern Ireland","N92000002","Country","2020-03-26",2,7
"Scotland","S92000003","Country","2020-03-26",6,22
"United Kingdom","K02000001","Country - UK","2020-03-26",183,877
"England","E92000001","Country","2020-03-26",169,820
"Wales","W92000004","Country","2020-03-26",6,28
"Wales","W92000004","Country","2020-03-27",6,34
"Scotland","S92000003","Country","2020-03-27",3,25
"England","E92000001","Country","2020-03-27",272,1092
"United Kingdom","K02000001","Country - UK","2020-03-27",284,1161
"Northern Ireland","N92000002","Country","2020-03-27",3,10
"England","E92000001","Country","2020-03-28",279,1371
"Scotland","S92000003","Country","2020-03-28",8,33
"Wales","W92000004","Country","2020-03-28",4,38
"United Kingdom","K02000001","Country - UK","2020-03-28",294,1455
"Northern Ireland","N92000002","Country","2020-03-28",3,13
"Wales","W92000004","Country","2020-03-29",10,48
"England","E92000001","Country","2020-03-29",195,1566
"Scotland","S92000003","Country","2020-03-29",7,40
"United Kingdom","K02000001","Country - UK","2020-03-29",214,1669
"Northern Ireland","N92000002","Country","2020-03-29",2,15
"England","E92000001","Country","2020-03-30",353,1919
"Wales","W92000004","Country","2020-03-30",14,62
"United Kingdom","K02000001","Country - UK","2020-03-30",374,2043
"Northern Ireland","N92000002","Country","2020-03-30",6,21
"Scotland","S92000003","Country","2020-03-30",1,41
"Northern Ireland","N92000002","Country","2020-03-31",1,22
"United Kingdom","K02000001","Country - UK","2020-03-31",382,2425
"Scotland","S92000003","Country","2020-03-31",6,47
"Wales","W92000004","Country","2020-03-31",7,69
"England","E92000001","Country","2020-03-31",368,2287
"England","E92000001","Country","2020-04-01",613,2900
"Northern Ireland","N92000002","Country","2020-04-01",6,28
"United Kingdom","K02000001","Country - UK","2020-04-01",670,3095
"Scotland","S92000003","Country","2020-04-01",22,69
"Wales","W92000004","Country","2020-04-01",29,98
"Wales","W92000004","Country","2020-04-02",19,117
"United Kingdom","K02000001","Country - UK","2020-04-02",652,3747
"England","E92000001","Country","2020-04-02",603,3503
"Scotland","S92000003","Country","2020-04-02",28,97
"Northern Ireland","N92000002","Country","2020-04-02",2,30
"Northern Ireland","N92000002","Country","2020-04-03",6,36
"Scotland","S92000003","Country","2020-04-03",29,126
"Wales","W92000004","Country","2020-04-03",24,141
"England","E92000001","Country","2020-04-03",655,4158
"United Kingdom","K02000001","Country - UK","2020-04-03",714,4461
"United Kingdom","K02000001","Country - UK","2020-04-04",760,5221
"Scotland","S92000003","Country","2020-04-04",46,172
"England","E92000001","Country","2020-04-04",689,4847
"Northern Ireland","N92000002","Country","2020-04-04",12,48
"Wales","W92000004","Country","2020-04-04",13,154
"Wales","W92000004","Country","2020-04-05",12,166
"United Kingdom","K02000001","Country - UK","2020-04-05",644,5865
"Scotland","S92000003","Country","2020-04-05",46,218
"England","E92000001","Country","2020-04-05",578,5425
"Northern Ireland","N92000002","Country","2020-04-05",8,56
"United Kingdom","K02000001","Country - UK","2020-04-06",568,6433
"Scotland","S92000003","Country","2020-04-06",2,220
"Northern Ireland","N92000002","Country","2020-04-06",7,63
"England","E92000001","Country","2020-04-06",532,5957
"Wales","W92000004","Country","2020-04-06",27,193
"Scotland","S92000003","Country","2020-04-07",2,222
"England","E92000001","Country","2020-04-07",1010,6967
"United Kingdom","K02000001","Country - UK","2020-04-07",1038,7471
"Wales","W92000004","Country","2020-04-07",19,212
"Northern Ireland","N92000002","Country","2020-04-07",7,70
"United Kingdom","K02000001","Country - UK","2020-04-08",1034,8505
"Scotland","S92000003","Country","2020-04-08",74,296
"Northern Ireland","N92000002","Country","2020-04-08",3,73
"England","E92000001","Country","2020-04-08",924,7891
"Wales","W92000004","Country","2020-04-08",33,245
"Scotland","S92000003","Country","2020-04-09",70,366
"Northern Ireland","N92000002","Country","2020-04-09",5,78
"England","E92000001","Country","2020-04-09",987,8878
"Wales","W92000004","Country","2020-04-09",41,286
"United Kingdom","K02000001","Country - UK","2020-04-09",1103,9608
"Northern Ireland","N92000002","Country","2020-04-10",4,82
"Wales","W92000004","Country","2020-04-10",29,315
"Scotland","S92000003","Country","2020-04-10",81,447
"United Kingdom","K02000001","Country - UK","2020-04-10",1152,10760
"England","E92000001","Country","2020-04-10",1038,9916
"Northern Ireland","N92000002","Country","2020-04-11",10,92
"Wales","W92000004","Country","2020-04-11",36,351
"England","E92000001","Country","2020-04-11",745,10661
"United Kingdom","K02000001","Country - UK","2020-04-11",839,11599
"Scotland","S92000003","Country","2020-04-11",48,495
"Scotland","S92000003","Country","2020-04-12",47,542
"Wales","W92000004","Country","2020-04-12",18,369
"England","E92000001","Country","2020-04-12",606,11267
"United Kingdom","K02000001","Country - UK","2020-04-12",686,12285
"Northern Ireland","N92000002","Country","2020-04-12",15,107
"Scotland","S92000003","Country","2020-04-13",24,566
"Northern Ireland","N92000002","Country","2020-04-13",11,118
"United Kingdom","K02000001","Country - UK","2020-04-13",744,13029
"Wales","W92000004","Country","2020-04-13",15,384
"England","E92000001","Country","2020-04-13",694,11961
"England","E92000001","Country","2020-04-14",1010,12971
"Wales","W92000004","Country","2020-04-14",19,403
"Northern Ireland","N92000002","Country","2020-04-14",6,124
"United Kingdom","K02000001","Country - UK","2020-04-14",1044,14073
"Scotland","S92000003","Country","2020-04-14",9,575
"Wales","W92000004","Country","2020-04-15",60,463
"England","E92000001","Country","2020-04-15",732,13703
"Scotland","S92000003","Country","2020-04-15",40,615
"United Kingdom","K02000001","Country - UK","2020-04-15",842,14915
"Northern Ireland","N92000002","Country","2020-04-15",10,134
"Wales","W92000004","Country","2020-04-16",32,495
"England","E92000001","Country","2020-04-16",907,14610
"Northern Ireland","N92000002","Country","2020-04-16",6,140
"United Kingdom","K02000001","Country - UK","2020-04-16",1029,15944
"Scotland","S92000003","Country","2020-04-16",84,699
"Wales","W92000004","Country","2020-04-17",11,506
"England","E92000001","Country","2020-04-17",826,15436
"United Kingdom","K02000001","Country - UK","2020-04-17",935,16879
"Northern Ireland","N92000002","Country","2020-04-17",18,158
"Scotland","S92000003","Country","2020-04-17",80,779
"United Kingdom","K02000001","Country - UK","2020-04-18",1115,17994
"England","E92000001","Country","2020-04-18",1011,16447
"Northern Ireland","N92000002","Country","2020-04-18",18,176
"Wales","W92000004","Country","2020-04-18",28,534
"Scotland","S92000003","Country","2020-04-18",58,837
"Wales","W92000004","Country","2020-04-19",41,575
"Scotland","S92000003","Country","2020-04-19",56,893
"England","E92000001","Country","2020-04-19",384,16831
"Northern Ireland","N92000002","Country","2020-04-19",17,193
"United Kingdom","K02000001","Country - UK","2020-04-19",498,18492
"United Kingdom","K02000001","Country - UK","2020-04-20",559,19051
"Wales","W92000004","Country","2020-04-20",9,584
"Northern Ireland","N92000002","Country","2020-04-20",1,194
"Scotland","S92000003","Country","2020-04-20",10,903
"England","E92000001","Country","2020-04-20",539,17370
"Wales","W92000004","Country","2020-04-21",25,609
"Scotland","S92000003","Country","2020-04-21",12,915
"United Kingdom","K02000001","Country - UK","2020-04-21",1172,20223
"England","E92000001","Country","2020-04-21",1122,18492
"Northern Ireland","N92000002","Country","2020-04-21",13,207
"Wales","W92000004","Country","2020-04-22",15,624
"Northern Ireland","N92000002","Country","2020-04-22",13,220
"United Kingdom","K02000001","Country - UK","2020-04-22",837,21060
"Scotland","S92000003","Country","2020-04-22",70,985
"England","E92000001","Country","2020-04-22",739,19231
"Wales","W92000004","Country","2020-04-23",17,641
"Scotland","S92000003","Country","2020-04-23",77,1062
"England","E92000001","Country","2020-04-23",603,19834
"Northern Ireland","N92000002","Country","2020-04-23",30,250
"United Kingdom","K02000001","Country - UK","2020-04-23",727,21787
"England","E92000001","Country","2020-04-24",824,20658
"United Kingdom","K02000001","Country - UK","2020-04-24",1005,22792
"Northern Ireland","N92000002","Country","2020-04-24",13,263
"Wales","W92000004","Country","2020-04-24",110,751
"Scotland","S92000003","Country","2020-04-24",58,1120
"United Kingdom","K02000001","Country - UK","2020-04-25",843,23635
"Wales","W92000004","Country","2020-04-25",23,774
"Scotland","S92000003","Country","2020-04-25",64,1184
"Northern Ireland","N92000002","Country","2020-04-25",15,278
"England","E92000001","Country","2020-04-25",741,21399
"Scotland","S92000003","Country","2020-04-26",47,1231
"United Kingdom","K02000001","Country - UK","2020-04-26",420,24055
"Wales","W92000004","Country","2020-04-26",14,788
"England","E92000001","Country","2020-04-26",343,21742
"Northern Ireland","N92000002","Country","2020-04-26",16,294
"Scotland","S92000003","Country","2020-04-27",18,1249
"Northern Ireland","N92000002","Country","2020-04-27",5,299
"England","E92000001","Country","2020-04-27",307,22049
"Wales","W92000004","Country","2020-04-27",8,796
"United Kingdom","K02000001","Country - UK","2020-04-27",338,24393
"United Kingdom","K02000001","Country - UK","2020-04-28",909,25302
"Wales","W92000004","Country","2020-04-28",17,813
"Northern Ireland","N92000002","Country","2020-04-28",10,309
"Scotland","S92000003","Country","2020-04-28",13,1262
"England","E92000001","Country","2020-04-28",869,22918
"Scotland","S92000003","Country","2020-04-29",70,1332
"Northern Ireland","N92000002","Country","2020-04-29",20,329
"England","E92000001","Country","2020-04-29",632,23550
"United Kingdom","K02000001","Country - UK","2020-04-29",795,26097
"Wales","W92000004","Country","2020-04-29",73,886
"Wales","W92000004","Country","2020-04-30",22,908
"United Kingdom","K02000001","Country - UK","2020-04-30",674,26771
"Northern Ireland","N92000002","Country","2020-04-30",9,338
"England","E92000001","Country","2020-04-30",560,24110
"Scotland","S92000003","Country","2020-04-30",83,1415
"Northern Ireland","N92000002","Country","2020-05-01",9,347
"Wales","W92000004","Country","2020-05-01",17,925
"England","E92000001","Country","2020-05-01",653,24763
"United Kingdom","K02000001","Country - UK","2020-05-01",739,27510
"Scotland","S92000003","Country","2020-05-01",60,1475
"England","E92000001","Country","2020-05-02",519,25282
"United Kingdom","K02000001","Country - UK","2020-05-02",621,28131
"Wales","W92000004","Country","2020-05-02",44,969
"Scotland","S92000003","Country","2020-05-02",40,1515
"Northern Ireland","N92000002","Country","2020-05-02",18,365
"England","E92000001","Country","2020-05-03",246,25528
"Scotland","S92000003","Country","2020-05-03",44,1559
"United Kingdom","K02000001","Country - UK","2020-05-03",315,28446
"Wales","W92000004","Country","2020-05-03",14,983
"Northern Ireland","N92000002","Country","2020-05-03",11,376
